explanations,datasets,attributed_fns,methods,reversed,Value
attention,any,logit,baseline,original,"[79.133545   1.9199185  1.8150626  1.7750765  3.0069942  1.8966888
  2.3629115  3.3528981  4.0744314  4.553696   7.398387   9.3822565
 14.194814   9.133324 ]"
attention,any,logit,baseline,original,"[77.96222    1.7692504  1.754915   1.0038551  1.5095363  1.222277
  1.4666759  1.5966948  1.1156158  1.0382369  1.1297243  1.3847111
  1.2534863  1.1400486  1.336013   1.978001   1.0538461  3.0102136
  3.846423   3.0285368  4.303254   5.605577  11.539961  12.950928 ]"
attention,any,logit,baseline,original,"[77.27513    2.067651   2.0191298  2.3318052  2.471706   2.9830031
  3.1323433  3.8731189  3.699881   4.09503    6.83304    9.000109
 14.153534  10.064528 ]"
attention,any,logit,baseline,original,"[90.184456   3.4027488  2.884045   4.33077    2.6271558  3.5766437
  4.4370856  5.7747912 15.011035  11.77127  ]"
attention,any,logit,baseline,original,"[88.20805    6.434984   3.7431855  4.353035   5.4777412 10.476518
 13.160649  12.145843 ]"
attention,any,logit,baseline,original,[92.69371    7.2247963  5.658971  12.369705  14.75422   11.298596 ]
attention,any,logit,baseline,original,[87.32956   4.351548  5.637552  8.407348 23.885002 14.388983]
attention,any,logit,baseline,original,[96.724014   6.4919825  7.9497476 18.374063  14.460189 ]
attention,any,logit,baseline,original,"[83.85945    4.2399354  2.737136   3.199977   5.0570893 10.301414
  9.462462  14.648086  10.494451 ]"
attention,any,logit,baseline,original,"[85.13194    4.8121643  4.150751   4.7850847  6.3618007 12.057925
 14.579481  12.120851 ]"
attention,any,logit,baseline,original,"[90.63189    6.715448   4.999762   6.381507   7.2188654 14.841613
 13.2109165]"
attention,any,logit,baseline,original,"[76.11463    2.9047155  2.8933947  2.1427355  1.7364441  1.6496285
  2.5914493  1.8650959  1.9617035  2.3220596  5.2299547  6.3623505
  6.3079166 10.717519   9.576965   9.623434 ]"
attention,any,logit,baseline,original,"[67.60343    2.113546   2.551794   3.2685783  1.8035778  1.9682317
  1.9965962  1.775014   3.394103   4.198182   1.944306   2.1682003
  4.3651853  2.471992   3.1024868  7.583392   9.241139  14.487598
  7.9626446]"
attention,any,logit,baseline,original,"[76.17845    3.653609   3.6741726  4.0926757  2.6621861  5.2274075
  6.0700293  8.8480425  9.620952  14.212705   9.759776 ]"
attention,any,logit,baseline,original,"[75.199615    2.1384294   1.449162    1.8366634   2.1300764   1.0152906
  1.1412748   1.1986214   1.353442    1.9892497   1.0224997   0.50446516
  1.7646393   1.5906107   1.821148    2.2005897   1.9486433   2.3158524
  2.2926636   6.6009026   8.919936   14.75995     8.806273  ]"
